# Japanese -> English for the account pages our mirror serves.
# Generated once by a helper script, edited by hand after.
# Applied by tools/xlate_pages.py. Columns: jp <TAB> en <TAB> pages
# \n \r \t are ESCAPED in both columns -- several of SE's strings
# span lines, which would otherwise break the row format.
期間延長	Extend Contract	idpm01
^03ウェブマネーの期間延長を行います。	^03Extend your contract using WebMoney.	idpm01
コンテンツIDの復活	Reactivate Content ID	idpm01
^03FINAL FANTASY XIのコンテンツIDの復活を行います。	^03Reactivate your FINAL FANTASY XI Content ID.	idpm01
^03FINAL FANTASY XIのトップページへ戻ります。	^03Return to the FINAL FANTASY XI top page.	idpm01
閉じる	Close	cipm01,idpm01
購　入	Purchase	cipm01,idpm01
戻　る	Back	idpm01
FFXI　　：コンテンツID	FFXI: Content ID	idpm01
コンテンツIDについて	About Content IDs	cipm01,idpm01
ウェブマネーご利用の方へ	For WebMoney Users	idpm01
前へ戻る	Back	idpm01
ウェブマネーで購入したコンテンツIDの使用期限&br;\n\t\t\t が切れてしまった場合には「戻る」を選択し、&br;\n\t\t\t「ウェブマネーご利用の方へ」の「コンテンツID&br;\n\t\t\t の復活」から手続きをしてください。&br;\n\t\t\t コンテンツIDを新規・追加で購入する場合には、&br;\n\t\t\t お支払い方法に関わらず「購入」を選択してくだ&br;\n\t\t\t さい。	If a Content ID purchased with WebMoney has&br;\n\t\t\t expired, select "Back" and use "Reactivate&br;\n\t\t\t Content ID" under "For WebMoney Users".&br;\n\t\t\t To buy a new or additional Content ID,&br;\n\t\t\t select "Purchase" regardless of your&br;\n\t\t\t payment method.	idpm01
プレイ中は【購入】できません	Cannot purchase while playing	cipm01,idpm01
&sp;ゲームを一時抜けた状態の時は、この機能を&br;&sp;ご利用いただけません。&br;&sp;ゲームを終了してからご変更ください。	&sp;This feature is unavailable while a game is&br;&sp;suspended.&br;&sp;Please exit the game before making changes.	idpm01
プレイ中は【解約】できません	Cannot cancel while playing	cipm01,idpm01
プレイ中は【復活】できません	Cannot reactivate while playing	cipm01,idpm01
^03はじめてFINAL FANTASY XIをプレイする前にぜひお読みください。	^03Please read this before playing FINAL FANTASY XI for the first time.	idpm01
^03FINAL FANTASY XIのコンテンツIDの新規購入・追加購入を行います。	^03Purchase a new or additional Content ID for FINAL FANTASY XI.	idpm01
解　約	Cancel	cipm01,idpm01
^03FINAL FANTASY XIのコンテンツIDの解約を行います。	^03Cancel your FINAL FANTASY XI Content ID.	idpm01
^03ウェブマネーでコンテンツIDを購入された方は、その期間延長やコンテンツIDの復活を行います。	^03If you purchased a Content ID with WebMoney, extend the contract or reactivate the Content ID here.	idpm01
^03詳細を閉じます。	^03Close the details.	cipm01
^03ファイナルファンタジーXIのトップページへ戻ります。	^03Return to the FINAL FANTASY XI top page.	cipm01
^03シートを閉じます。	^03Close this panel.	cipm01
必要環境・推奨環境を確認	View System Requirements	cipm01
^03必要環境・推奨環境を表示します。	^03Show the system requirements.	cipm01
^03コンテンツID購入確認画面へ戻ります。	^03Return to the Content ID purchase confirmation screen.	cipm01
引継ぎ購入	Transfer Purchase	cipm01
FFXI：コンテンツID	FFXI: Content ID	cipm01
コンテンツID	Content ID	cipm01
&pre=1;拡張データディスクなどを購入して新しい要素をプレイする場合には、スクウェア・エニックス アカウントによる手続きが必要です。スクウェア・エニックス アカウントをお持ちでない方は、スクウェア・エニックス アカウントを新規取得のうえ、「プレイオンラインID移行（リンク）を行ってください。\n\t&style=spacer03;　&style;\n\tプレイオンラインIDの移行に関する詳細は、以下のウェブページでご覧いただけます。\n\thttp://www.playonline.com/home/polshift/	&pre=1;Purchasing an expansion disc and playing its new content requires a Square Enix account. If you do not have one, create a Square Enix account and then link your PlayOnline ID to it.\n\t&style=spacer03;　&style;\n\tDetails on migrating a PlayOnline ID are on the following web page.\n\thttp://www.playonline.com/home/polshift/	cipm01
拡張コンテンツ	Expansions	cipm01
戻 る	Back	cipm01
Windows XP/Vista/7 （日本語版）	Windows XP/Vista/7	cipm01
Intel Pentium III 800MHz以上	Intel Pentium III 800MHz or higher	cipm01
メインメモリー	Main Memory	cipm01
実装128MB以上	128MB or more installed	cipm01
グラフィックカード	Graphics Card	cipm01
&pre=1;&li= ;NVIDIA GeForce / ATI Radeon9000以上シリーズチップ搭載のグラフィックカードVRAM32MB以上\n&style=Tr13;&li=※;DirectX 8.1と100%互換性のあるドライバー\nソフトウェアが必要です。&li;&style;&li;	&pre=1;&li= ;Graphics card with an NVIDIA GeForce / ATI Radeon 9000 series or later chipset, 32MB VRAM or more\n&style=Tr13;&li=*;Driver software 100% compatible with DirectX 8.1 is required.&li;&style;&li;	cipm01
サウンドカード	Sound Card	cipm01
